source_file,case_id,map,scale,release,coordination,arm,family,ablation,config,binary_sha256,safety_status,reported_integrity_or_safety_pass,reservation_conflicts,illegal_edge_moves,failed_edge_commits,physical_capacity_violations,mutual_resource_conflicts,wrong_terminal_completions,partial_P2_commits,stale_commit_accepted
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\same_hca\map2_1x.json,t5_2_map2_1x_speed_2p5,map2,1,same_hca,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",g31,NOT_REPORTED,NOT_REPORTED,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\same_hca\map2_1x.json,t5_2_map2_1x_speed_2p5,map2,1,same_hca,G31_BASE_COORDINATION_UNCHANGED,g31,NOT_REPORTED,NOT_REPORTED,{},639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\same_hca\map2_1x.json,t5_2_map2_1x_speed_2p5,map2,1,same_hca,G31_BASE_COORDINATION_UNCHANGED,g31,NOT_REPORTED,NOT_REPORTED,{},d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\same_hca\map2_1x.json,t5_2_map2_1x_speed_2p5,map2,1,same_hca,G31_BASE_COORDINATION_UNCHANGED,s5,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""S5_dynamic_workload_oracle""}",639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\ssp_time\same_hca\map2_1x.json,t5_2_map2_1x_speed_2p5,map2,1,same_hca,G31_BASE_COORDINATION_UNCHANGED,ssp_time,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""S3_shortest_potential_only""}",639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\tarau_distributed_2010\same_hca\map2_1x.json,t5_2_map2_1x_speed_2p5,map2,1,same_hca,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",tarau_distributed_2010,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo"",""scorer_mode"":""TARAU_DISTRIBUTED_2010_ADAPTED_ROUTE_ONLY""}",17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\tarau_local_2009\map2_1x.json,t5_2_map2_1x_speed_2p5,map2,1,same_hca,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",tarau_local_2009,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo"",""scorer_mode"":""FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED""}",884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\map2_2x.json,t5_2_map2_2x_speed_2p5,map2,2,NOT_REPORTED,"{""event_hotpath_policy"":""E2"",""merge_grant_rule"":""M3"",""merge_grant_timing_mode"":""jit_fair_aging_deadline"",""queue_discipline"":""fifo""}",g31,NOT_REPORTED,NOT_REPORTED,"{""decision_scope"":""one_next_edge_at_current_junction"",""direct_neighbor_merge_calendar_visibility"":{""decision_scope"":""one_next_edge_at_current_junction"",""enabled"":true,""learning_active"":false,""merge_authority"":""E4/J2_unchanged"",""read_scope"":""direct_outgoing_merge_neighbor_service_calendar_scalar"",""score_input"":""existing_target_next_available_calendar_wait"",""score_weight"":""existing_calendar_wait_weight""},""event_hotpath_policy"":""E2"",""goal_arrival_completion"":{""enabled"":true,""goal_service"":""not_reserved_or_executed"",""legacy_reference"":""HCA_Tasks_ICS_goal_arrival_completion"",""terminal_event"":""physical_goal_edge_exit""},""learning_active"":false,""local_potential_descent_guard"":{""decision_scope"":""one_next_edge_at_current_junction"",""enabled"":true,""learned_values_allowed"":false,""learning_active"":false,""no_descending_action"":""hold_retry"",""read_scope"":""current_and_direct_outgoing_neighbors"",""rule"":""H_eff(next,goal)+epsilon<H_eff(current,goal)""},""local_software_queue_cap"":{""local_queue_capacity"":0,""semantics"":""no configured software queue cap; service calendar/R3 and E4/J2 retained; capacity-triggered PIBT relief inactive""},""merge_grant_rule"":""M3"",""merge_grant_timing_mode"":""jit_fair_aging_deadline"",""queue_discipline"":""fifo"",""scorer_mode"":""S4_queue_aware_rule_only""}",NOT_REPORTED,NOT_REPORTED,True,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\canonical\map2_2x.json,t5_2_map2_2x_speed_2p5,map2,2,canonical,G31_BASE_COORDINATION_UNCHANGED,feng_dh,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED""}",d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\g31\canonical\map2_2x.json,t5_2_map2_2x_speed_2p5,map2,2,canonical,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",g31,NOT_REPORTED,NOT_REPORTED,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\canonical\map2_2x.json,t5_2_map2_2x_speed_2p5,map2,2,canonical,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",g31,NOT_REPORTED,NOT_REPORTED,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\canonical\map2_2x.json,t5_2_map2_2x_speed_2p5,map2,2,canonical,G31_BASE_COORDINATION_UNCHANGED,g31,NOT_REPORTED,NOT_REPORTED,{},d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\canonical\map2_2x.json,t5_2_map2_2x_speed_2p5,map2,2,canonical,G31_BASE_COORDINATION_UNCHANGED,s5,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""S5_dynamic_workload_oracle""}",639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\ssp_time\canonical\map2_2x.json,t5_2_map2_2x_speed_2p5,map2,2,canonical,G31_BASE_COORDINATION_UNCHANGED,ssp_time,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""S3_shortest_potential_only""}",639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\tarau_distributed_2010\canonical\map2_2x.json,t5_2_map2_2x_speed_2p5,map2,2,canonical,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",tarau_distributed_2010,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo"",""scorer_mode"":""TARAU_DISTRIBUTED_2010_ADAPTED_ROUTE_ONLY""}",17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\tarau_local_2009\canonical\map2_2x.json,t5_2_map2_2x_speed_2p5,map2,2,canonical,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",tarau_local_2009,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo"",""scorer_mode"":""FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED""}",884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,NOT_REPORTED,True,0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED
