scenario,scenario_context,oracle_policy,segment_id,task_id,source_line,failure_motif,first_divergence_current,sipp_teacher_next,edge_score_terminal_reason,oracle_terminal_reason,teacher_finish_time,oracle_finish_time,oracle_decision_count,teacher_path,oracle_path,recovery_status,unrecoverable_reason
legacy_offset64_repair32,repair_window,oracle2_sipp_rank,91:storage_in,91,93,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,13171.088279999996,,20,4 17 18 22 24 27 28 47,4 17 18 22 26 43 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle2_sipp_rank,94:storage_in,94,96,repair_window_branch_gap,19,25,no_safe_action,no_safe_action,13213.537819999994,,10,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,68:storage_in,68,70,no_safe_action_at_divergence,18,22,no_safe_action,no_safe_action,12576.772989999996,,7,5 19 18 22 24 27 28 47,5 19 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,69:storage_in,69,71,no_safe_action_at_divergence,18,22,no_safe_action,no_safe_action,12591.772989999998,,4,3 16 17 18 22 26 43 15 14 46 36 38 39 47,3 16 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,70:storage_in,70,72,hold_when_sipp_moves,7,8,no_safe_action,no_safe_action,12558.706479999999,,18,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,71:storage_in,71,73,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,12598.372989999994,,10,4 17 18 22 24 27 28 47,4 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,72:storage_in,72,74,repair_window_branch_gap,6,12,no_safe_action,no_safe_action,12555.172989999997,,14,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,81:storage_in,81,83,hold_when_sipp_moves,18,22,no_safe_action,no_safe_action,13181.888279999996,,8,5 19 18 22 24 27 28 47,5 19 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,83:storage_in,83,85,no_safe_action_at_divergence,18,22,no_safe_action,no_safe_action,13106.28828,,4,3 16 17 18 22 24 27 28 47,3 16 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,84:storage_in,84,86,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,13138.688279999998,,9,4 17 18 22 24 27 28 47,4 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,85:storage_in,85,87,hold_when_sipp_moves,11,13,no_safe_action,no_safe_action,13127.88828,,10,1 7 8 11 13 23 24 27 28 47,1 7 8 11 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,86:storage_in,86,88,repair_window_branch_gap,19,25,no_safe_action,no_safe_action,13169.137819999996,,11,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,88:storage_in,88,90,repair_window_branch_gap,9,10,no_safe_action,no_safe_action,13154.337819999997,,10,2 9 10 15 14 46 36 38 39 47,2 9 10 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,89:storage_in,89,91,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,13117.08828,,9,4 17 18 22 24 27 28 47,4 17 18 22 24 27,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,94:storage_in,94,96,repair_window_branch_gap,19,25,no_safe_action,no_safe_action,13213.537819999994,,10,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,68:storage_in,68,70,no_safe_action_at_divergence,18,22,no_safe_action,no_safe_action,12576.772989999996,,7,5 19 18 22 24 27 28 47,5 19 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,69:storage_in,69,71,no_safe_action_at_divergence,18,22,no_safe_action,no_safe_action,12591.772989999998,,4,3 16 17 18 22 26 43 15 14 46 36 38 39 47,3 16 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,70:storage_in,70,72,hold_when_sipp_moves,7,8,no_safe_action,no_safe_action,12558.706479999999,,18,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,71:storage_in,71,73,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,12598.372989999994,,10,4 17 18 22 24 27 28 47,4 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,72:storage_in,72,74,repair_window_branch_gap,6,12,no_safe_action,no_safe_action,12555.172989999997,,14,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,81:storage_in,81,83,hold_when_sipp_moves,18,22,no_safe_action,no_safe_action,13181.888279999996,,8,5 19 18 22 24 27 28 47,5 19 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,83:storage_in,83,85,no_safe_action_at_divergence,18,22,no_safe_action,no_safe_action,13106.28828,,4,3 16 17 18 22 24 27 28 47,3 16 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,84:storage_in,84,86,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,13138.688279999998,,9,4 17 18 22 24 27 28 47,4 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,85:storage_in,85,87,hold_when_sipp_moves,11,13,no_safe_action,no_safe_action,13127.88828,,10,1 7 8 11 13 23 24 27 28 47,1 7 8 11 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,86:storage_in,86,88,repair_window_branch_gap,19,25,no_safe_action,no_safe_action,13169.137819999996,,11,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,88:storage_in,88,90,repair_window_branch_gap,9,10,no_safe_action,no_safe_action,13154.337819999997,,10,2 9 10 15 14 46 36 38 39 47,2 9 10 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,89:storage_in,89,91,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,13117.08828,,9,4 17 18 22 24 27 28 47,4 17 18 22 24 27,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,94:storage_in,94,96,repair_window_branch_gap,19,25,no_safe_action,no_safe_action,13213.537819999994,,10,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_offset64_repair32,repair_window,oracle3_lookahead_k5,68:storage_in,68,70,no_safe_action_at_divergence,18,22,no_safe_action,no_safe_action,12576.772989999996,,7,5 19 18 22 24 27 28 47,5 19 18,unrecoverable,no_safe_action_or_mask_timing
